date,ticker,score,momentum,value,iqc_alpha,volatility,return_pct,exit_reason
2021-04-30,103590,82.61054964027574,90.62710474312007,0.0,99.41860465116278,72.98850574712644,8.211586901763223,time@20
2021-05-31,082740,85.13619115503906,93.62673951868686,0.0,74.42528735632185,95.42857142857143,-12.734813369114416,trail@11
2021-06-30,032820,83.5358809676547,92.7433820728164,0.0,97.71428571428571,99.43181818181817,20.362473347547983,trail@16
2021-07-30,028300,82.3930201941882,91.74970478710755,0.0,64.94252873563218,85.22727272727273,48.546466676975406,time@20
2021-08-31,007660,82.89931493890464,93.50759654089283,0.0,92.61363636363636,94.91525423728814,2.455477603885581,trail@15
2021-09-30,011790,83.08347740346117,83.03906288033588,0.0,99.14772727272728,99.43502824858757,-9.467481696453861,trail@3
2021-10-29,017960,82.67873040402006,90.42025888602538,0.0,92.85714285714286,77.40112994350282,-8.764940239043828,trail@9
2021-11-30,052690,84.9277592952943,77.0,0.0,73.03370786516854,99.4413407821229,4.681872749099636,trail@9
2021-12-31,298380,84.56612018654748,91.22602279090319,0.0,75.55555555555556,97.79005524861878,-6.108597285067874,trail@3
2022-01-31,108490,85.86580553035851,88.82652499908065,0.0,55.02793296089385,100.0,-2.0538393272197086,trail@7
2022-02-28,108490,83.50725517576346,95.0,0.0,84.80662983425414,98.9010989010989,5.0001974801532345,time@20
2022-03-31,103590,80.90747574156009,82.7839618773695,0.0,94.23076923076923,86.33879781420765,4.26531379180759,trail@6
2022-04-29,329180,84.24736433818607,86.71430948234746,0.0,96.70329670329669,98.36065573770492,-10.71428571428571,trail@7
2022-05-31,322000,82.44927536231884,95.0,0.0,100.0,98.36956521739131,-2.359882005899705,trail@8
2022-06-30,298040,85.38687572720345,94.81964833440203,0.0,86.88524590163935,87.5,-10.634920634920631,trail@4
2022-06-30,103590,80.14183891660727,95.0,0.0,61.47540983606557,97.82608695652173,-0.5750605326876546,trail@6
2022-07-29,214370,81.97806288112774,95.0,0.0,99.45355191256832,95.1086956521739,-6.431095406360421,trail@13
2022-08-31,052690,82.00255139718112,86.18559762655539,0.0,78.14207650273224,92.3913043478261,-10.59782608695652,trail@5
2022-09-30,000155,81.12988325304137,92.54391103115417,0.0,11.684782608695652,100.0,-8.998144712430422,trail@5
2022-11-30,000250,80.61261261261262,95.0,0.0,72.43243243243244,98.37837837837839,2.8921023359288034,time@20
2022-12-30,214370,85.77078435176632,93.70624015869512,0.0,79.72972972972974,97.2972972972973,-9.263311451495259,trail@7
2022-12-30,377300,80.58608112802973,76.9381757930473,0.0,86.4864864864865,97.83783783783784,21.771217712177126,trail@13
2023-01-31,277810,82.57657657657658,95.0,0.0,98.64864864864865,100.0,-6.39386189258312,trail@7
2023-02-28,001430,82.2770978891012,94.20625823626649,0.0,100.0,99.45945945945947,0.6666666666666599,trail@8
2023-03-31,007660,83.2686756468011,93.30682425213789,0.0,100.0,94.5945945945946,-2.1190401994390817,trail@10
2023-04-28,310210,82.01250430758628,95.0,0.0,92.3497267759563,98.91891891891892,4.231040150270027,trail@4
2023-05-31,140410,83.15372303267023,76.44286614023413,0.0,92.97297297297298,97.83783783783784,37.3,time@20
2023-06-30,257720,83.71531492703431,94.10810713740561,0.0,97.56756756756756,96.75675675675676,1.9746121297602226,trail@9
2023-07-31,031980,82.1981981981982,95.0,0.0,99.45945945945947,96.75675675675676,-13.551401869158875,trail@2
2023-08-31,229640,83.58571712696249,84.36751862385785,0.0,97.58064516129032,100.0,-8.340971585701196,trail@2
2023-09-29,277810,82.82012048530706,86.08255927778377,0.0,26.881720430107524,99.46236559139786,-8.066429418742583,trail@1
2023-10-31,071970,84.4695340501792,95.0,0.0,71.7741935483871,87.63440860215054,-3.9000000000000035,trail@7
2023-11-30,277810,82.37136198195807,94.60933187111621,0.0,76.47058823529412,95.72192513368985,-8.342728297632473,trail@2
2024-01-31,000500,82.9926747762486,94.44977204700449,0.0,79.25531914893617,99.46808510638297,15.06696428571429,trail@17
2024-02-29,457190,82.64902998236332,95.0,0.0,99.73544973544973,100.0,1.6819571865443361,trail@9
2024-03-29,000500,82.94845344332937,87.88259745312058,0.0,94.44444444444443,86.24338624338624,-8.462867012089815,trail@3
2024-04-30,298040,86.3663012549898,92.90574338101085,0.0,93.35106382978724,97.35449735449735,37.61980830670926,time@20
