ticker,ret_5d,ret_20d,ret_60d,ma20_dev,ma60_dev,rsi,vol_20d,pct_b,iqc_alpha1,iqc2_vwap_dev,iqc2_dsm,forward_return,iqc_alpha2
005930,-0.11860832894043227,-0.1430035879036392,0.399163179916318,-0.10446961784633513,-0.016692314478107928,35.678391959799,0.05023887767037269,0.014033345176642675,0.021830143540669856,0.014553429027113296,22,0.31877990430622005,0.0970228601807553
000660,-0.1815415821501014,-0.14057507987220452,0.26093750000000004,-0.13929180887372017,-0.06918625886695251,37.06293706293707,0.0638049975403659,-0.024809534717030342,0.027261462205700124,0.018174308137133367,22,0.593556381660471,0.12116205424755579
005935,-0.14988814317673382,-0.11764705882352944,0.26948775055679297,-0.13380442215637112,-0.05860331966197807,29.82171799027553,0.0527389759339778,0.023656932908535214,0.013157894736842105,0.008771929824561403,9,0.38859649122807016,0.05847953216374269
402340,-0.21596638655462186,-0.19707401032702232,0.34826589595375723,-0.16513802514428888,-0.10495011511895624,37.25743855109962,0.0628135447463155,-0.0662249976808647,0.018756698821007504,0.012504465880671627,22,0.802786709539121,0.08336310587114418
005380,-0.09451219512195119,-0.25126050420168067,0.5178875638841567,-0.12578492935635788,-0.07654039488003317,29.339853300733495,0.04246615087999342,-0.1077869576423064,0.020202020202020204,0.013468013468013467,21,0.19191919191919182,0.08978675645342311
373220,0.005095541401273884,0.003816793893129722,0.03815789473684217,0.04531001589825112,0.01201419470691345,57.142857142857146,0.040927187484372816,0.7804512645660272,0.014575411913814956,0.009716941275876589,22,0.16730038022813698,0.06477960850584392
034020,-0.08291708291708288,-0.052631578947368474,0.19999999999999996,-0.08222944263934018,-0.03281883790760154,37.765957446808514,0.04691787958111321,0.20062403366006024,0.018518518518518517,0.012345679012345626,7,0.38453159041394325,0.09345210189092006
012450,-0.06441947565543071,-0.1277932960893855,0.316122233930453,-0.09715194448460318,-0.014116006472577047,35.65062388591801,0.037016827912066216,0.017314165535451346,0.0032025620496397116,0.0021350413664265365,12,0.134507606084868,0.014233609109510244
329180,-0.09883720930232553,-0.211864406779661,-0.11089866156787764,-0.15103382171710256,-0.18543713414011076,20.09569377990431,0.03963770757157487,0.016944324888255625,0.023118279569892472,0.015412186379928357,25,0.4731182795698925,0.10274790919952238
207940,-0.02779573367808663,-0.1052944675788221,-0.11840562719812431,-0.051074166377488295,-0.12244362108702633,33.61884368308351,0.03265842568484202,0.03858021782059593,0.0199468085106383,0.013297872340425532,21,-0.022606382978723416,0.08865248226950355
009150,-0.06750572082379858,-0.003667481662591676,0.5825242718446602,-0.03806432575981111,0.16461846241783373,50.3448275862069,0.04810814732244592,0.3687937595505224,0.009202453987730062,0.006134969325153374,8,1.0417177914110431,0.0408997955010225
105560,-0.03403675970047648,-0.07557003257328987,0.1297770700636942,-0.045376568333949985,-0.01904531471432025,37.22826086956522,0.03162940055083533,0.1297728420612713,0.009161381254404511,0.006107587502936272,26,0.13107822410147985,0.04071725001957515
000270,-0.08043065231158963,-0.20351069665386723,0.19900908340214696,-0.09978610620292017,-0.0786607161741999,34.78260869565217,0.03603008184054491,-0.05466630782236074,0.01790633608815427,0.011937557392102914,22,0.045454545454545414,0.07958371594735276
006400,0.026415094339622636,0.0,0.47027027027027035,0.030953885028426997,0.10884631064003258,53.25203252032521,0.04093087802991569,0.7176351667012985,0.02144607843137255,0.014297385620914985,21,0.7034313725490196,0.09531590413943324
032830,-0.05180180180180183,-0.04966139954853277,0.33565989847715727,-0.03495702005730661,0.06307762234230596,40.69767441860465,0.04336517336757526,0.3039027463947682,0.010688836104513063,0.007125890736342043,23,0.18527315914489306,0.04750593824228029
028260,-0.09946714031971582,-0.2003154574132492,0.049689440993788914,-0.0925362448541257,-0.13532872857508316,36.72566371681416,0.039712213108620525,-0.05887345630171695,-0.0029585798816568047,-0.0019723865877712033,22,0.1775147928994083,-0.013149243918474688
