asof,days_back,ticker,name,score,momentum,value,iqc_alpha,naive_return_pct,sim_return_pct,exit_reason,kospi_return_pct,alpha_pct
20260420,10,002020,코오롱,84.62786020386474,63.597812653527306,90.92391304347827,95.25447197487364,18.226600985221687,20.6896551724138,period_end,6.106681202555353,14.582973969858447
20260420,10,053610,프로텍,80.38010588667153,91.31115552421633,42.4403594499662,94.06823068523376,22.869955156950674,22.122571001494773,period_end,6.106681202555353,16.01588979893942
20260415,15,000210,DL,87.69223093604401,77.0,95.0,91.80376890092529,11.71875,11.71875,period_end,8.331103409894936,3.3876465901050636
20260415,15,005880,대한해운,86.05952290087309,94.82349349118407,95.0,52.49435793274656,-2.6266416510318913,-1.1257035647279534,trailing@6,8.331103409894936,-9.45680697462289
20260415,15,375500,DL이앤씨,84.89452807760381,92.90680152183617,72.67813765182186,73.17084179643422,-3.4146341463414664,-3.4146341463414664,period_end,8.331103409894936,-11.745737556236403
20260415,15,002020,코오롱,83.21362234888304,64.09284916757655,90.92391304347827,55.700744752877455,17.647058823529417,20.09803921568628,period_end,8.331103409894936,11.766935805791345
20260410,20,000210,DL,87.55260895156368,88.59298229547898,95.0,98.45576619273301,8.993902439024382,8.993902439024382,period_end,12.630421907296107,-3.6365194682717252
20260410,20,375500,DL이앤씨,86.10782848288834,95.0,72.67813765182186,90.67761227713837,4.761904761904767,4.761904761904767,period_end,12.630421907296107,-7.86851714539134
20260410,20,002020,코오롱,85.10234090910201,65.61808383677736,90.92391304347827,86.22207176709546,14.832535885167463,14.832535885167463,period_end,12.630421907296107,2.202113977871356
20260410,20,007340,DN오토모티브,82.33639239079208,76.94239797210065,70.41261229600018,47.86222071767095,35.92644978783592,28.712871287128717,period_end,12.630421907296107,16.08244937983261
20260410,20,005880,대한해운,77.02628123261087,95.0,95.0,0.23753103136989395,-16.019417475728158,-14.239482200647247,trailing@2,12.630421907296107,-26.869904107943356
20260405,25,375500,DL이앤씨,84.19583071751347,95.0,72.67813765182186,75.46772737531032,28.238341968911907,25.777202072538852,period_end,21.072852469483493,4.704349603055359
20260405,25,002020,코오롱,83.4811521488959,70.63247914002626,90.92391304347827,69.5948995712029,14.28571428571428,-6.190476190476191,trailing@5,21.072852469483493,-27.263328659959683
20260405,25,000210,DL,81.82365889339438,79.90661325411213,95.0,39.6665538253216,14.035087719298245,18.2615629984051,period_end,21.072852469483493,-2.8112894710783927
20260405,25,005880,대한해운,81.59467026675112,87.26180025383924,95.0,22.565447980139925,12.581344902386116,24.511930585683295,trailing@6,21.072852469483493,3.439078116199802
20260331,30,002020,코오롱,88.67304487554651,88.23812723200462,90.92391304347827,64.72353870458136,14.28571428571428,-6.190476190476191,trailing@9,30.607070615106302,-36.79754680558249
20260331,30,000210,DL,86.49012420583462,95.0,95.0,49.87925976077635,18.37748344370862,-5.794701986754969,trailing@2,30.607070615106302,-36.40177260186127
20260331,30,120110,코오롱인더,84.33466728469708,95.0,45.92077837485752,84.8160686075378,28.904109589041106,30.136986301369863,time_stop@20,30.607070615106302,-0.47008431373643944
20260331,30,375500,DL이앤씨,84.2746723819957,95.0,72.67813765182186,86.70841796434213,48.203592814371255,46.032934131736525,time_stop@20,30.607070615106302,15.425863516630223
20260331,30,456040,OCI,77.51768598393085,95.0,54.64285714285714,95.13879485443468,59.57446808510638,39.52127659574468,time_stop@20,30.607070615106302,8.914205980638378
20260331,30,082640,동양생명,77.07576214669699,92.94214175103265,69.02151246811441,63.77341457910178,-3.930635838150287,-4.393063583815026,time_stop@20,30.607070615106302,-35.00013419892133
20260331,30,015750,성우하이텍,77.06026485813999,84.30943555853413,93.57954545454544,52.13552245542767,5.833333333333335,9.047619047619037,time_stop@20,30.607070615106302,-21.559451567487265
20260331,30,053610,프로텍,76.78748531857431,88.12342817638574,42.4403594499662,18.770593545475062,59.302325581395344,35.94961240310077,time_stop@20,30.607070615106302,5.34254178799447
20260326,35,005880,대한해운,87.1431981034463,87.71988213523974,95.0,64.9616339426766,14.012738853503182,21.868365180467087,trailing@13,21.62015654358791,0.24820863687917694
20260326,35,000210,DL,85.06323666277642,95.0,95.0,23.041638456330396,18.518518518518512,-4.208754208754206,trailing@5,21.62015654358791,-25.828910752342118
20260326,35,375500,DL이앤씨,83.4810971811201,95.0,72.67813765182186,70.59241706161137,50.45180722891567,45.18072289156627,time_stop@20,21.62015654358791,23.56056634797836
20260326,35,053610,프로텍,81.08569446496072,80.79088102838212,42.4403594499662,91.57977883096366,37.83303730017762,-8.348134991119005,trailing@3,21.62015654358791,-29.968291534706914
20260321,40,000210,DL,83.33637579511175,95.0,95.0,2.2590770274855787,2.3183925811437467,-12.055641421947449,trailing@1,19.794848078435013,-31.850489500382462
20260316,45,088350,한화생명,84.58183755560331,78.28210550054104,91.88438438438439,63.9712702183011,4.144527098831041,2.0191285866099973,trailing@5,11.56914150832904,-9.550012921719041
20260316,45,005440,현대지에프홀딩스,81.98433176511632,95.0,87.6655290102389,3.44927044451985,-9.743589743589743,-7.88461538461539,trailing@6,11.56914150832904,-19.45375689294443
