date,ticker,total_score,momentum,quality,value,volatility,mean_reversion,iqc_alpha,fwd_return_pct
2021-04-30,103590,82.61054964027574,90.62710474312007,50.0,50.0,72.98850574712644,50.0,99.41860465116278,29.29471032745592
2021-04-30,004020,77.25153702218658,95.0,50.0,50.0,82.75862068965517,25.0,98.25581395348836,-5.225225225225227
2021-04-30,000720,76.22134011833101,89.64895753096967,50.0,50.0,66.66666666666666,50.0,97.09302325581395,11.705208205881146
2021-04-30,028670,75.89708634055064,95.0,50.0,50.0,91.37931034482759,10.0,90.69767441860466,-8.991825613079019
2021-04-30,103140,75.27835694555823,95.0,50.0,50.0,80.45977011494253,25.0,73.25581395348836,6.781914893617014
2021-04-30,001430,70.09204312572395,95.0,50.0,50.0,85.63218390804597,10.0,90.11627906976744,18.355640535372842
2021-04-30,011200,70.00828655439723,95.0,50.0,50.0,89.65517241379311,10.0,80.81395348837209,20.790816326530614
2021-04-30,047040,69.71756043358832,93.51224733720078,50.0,50.0,83.33333333333334,25.0,68.0232558139535,20.70365358592692
2021-04-30,042700,68.86740836978471,81.93974965118369,50.0,50.0,95.97701149425288,50.0,49.41860465116279,1.3062409288824295
2021-04-30,035720,68.7248413752126,81.90855714916047,50.0,50.0,79.88505747126436,50.0,79.65116279069767,11.45374449339207
2021-04-30,003550,68.56704980842912,95.0,50.0,50.0,94.25287356321839,10.0,50.0,-14.644351464435147
2021-04-30,005490,68.18701804369098,92.38681803090614,50.0,50.0,55.172413793103445,50.0,58.139534883720934,-4.807692307692313
2021-04-30,000150,67.90995813601752,94.71942888722373,50.0,50.0,70.6896551724138,10.0,88.95348837209303,35.917721518987335
2021-04-30,047050,67.74245749626064,76.44649391440194,50.0,50.0,79.3103448275862,50.0,98.83720930232558,-1.6666666666666718
2021-04-30,009540,67.41628798004098,95.0,50.0,50.0,61.49425287356321,10.0,98.25581395348837,-5.211726384364823
2021-04-30,028050,67.20400071282188,95.0,50.0,50.0,60.91954022988506,10.0,96.22093023255813,13.256484149855918
2021-04-30,241560,67.01690365416584,92.80733977339023,50.0,50.0,68.39080459770115,25.0,61.62790697674418,15.224534501642939
2021-04-30,083650,66.97270897112955,71.19747678494764,50.0,50.0,96.55172413793103,50.0,84.30232558139534,20.227272727272737
2021-04-30,096770,66.8337017727763,73.45287244851383,50.0,50.0,93.10344827586206,50.0,75.58139534883722,0.7394104253864331
2021-04-30,078930,66.43094580541687,84.29664634549445,50.0,50.0,50.57471264367817,50.0,89.53488372093022,11.61440185830429
2021-04-30,267250,66.3855920876771,95.0,50.0,50.0,63.793103448275865,10.0,78.19767441860466,8.52272727272727
2021-04-30,071050,66.34531451336422,93.90391713077756,50.0,50.0,84.48275862068965,25.0,12.790697674418603,-3.125
2021-04-30,058610,66.16999488488932,92.76114955740732,50.0,50.0,90.22988505747126,25.0,5.5232558139534875,11.627906976744185
2021-04-30,071970,66.03875968992249,95.0,50.0,50.0,100.0,10.0,0.5813953488372093,-14.251781472684089
2021-04-30,098460,65.86671979271495,88.4004268541477,50.0,50.0,98.27586206896551,25.0,11.046511627906975,-8.273381294964032
2021-04-30,319400,65.46271511939821,82.34720034416068,50.0,50.0,97.12643678160919,25.0,43.604651162790695,5.719921104536496
2021-04-30,353200,65.36432514800514,69.58340486858718,50.0,50.0,92.52873563218391,50.0,77.90697674418605,0.9803921568627416
2021-04-30,031980,65.29701505836229,77.0,50.0,50.0,99.42528735632183,50.0,18.604651162790695,7.08333333333333
2021-04-30,097230,64.62158068252695,95.0,50.0,50.0,89.08045977011494,10.0,1.1627906976744187,-2.183908045977012
2021-04-30,004170,64.3099958431803,91.7582382936854,50.0,50.0,43.67816091954023,25.0,76.74418604651163,4.597701149425282
2021-04-30,028260,64.28602559597499,76.75912529261949,50.0,50.0,64.36781609195403,50.0,75.0,4.4117647058823595
2021-04-30,004800,64.22413647826026,90.63251441136836,50.0,50.0,58.620689655172406,25.0,52.32558139534885,0.40224105731934134
2021-04-30,002380,64.11657762697322,81.84650955794359,50.0,50.0,86.20689655172413,25.0,48.25581395348838,2.2364217252396124
2021-04-30,009970,63.82912556005515,87.09275063719569,50.0,50.0,62.643678160919535,50.0,9.593023255813954,3.9874081846799525
2021-04-30,010950,63.55923841098122,83.87025142262368,50.0,50.0,67.81609195402298,25.0,64.53488372093022,18.828932261768074
2021-04-30,010060,63.48369219614483,65.9588518037364,50.0,50.0,95.40229885057471,50.0,65.69767441860465,4.400394636169613
2021-04-30,042660,63.38060233449167,95.0,50.0,50.0,77.01149425287356,10.0,6.686046511627908,2.1807140228192967
2021-04-30,067310,63.26365060711937,80.03830320852282,50.0,50.0,94.82758620689656,25.0,29.069767441860467,-0.34239677744209995
2021-04-30,088350,63.12012797234607,89.26249581966495,50.0,50.0,67.24137931034483,25.0,26.744186046511626,8.44062947067239
2021-04-30,000155,62.62483091234892,93.1799601998779,50.0,50.0,22.413793103448278,25.0,85.46511627906978,28.41409691629957
2021-04-30,034020,62.53364806616281,78.76462003175293,50.0,50.0,62.06896551724138,50.0,41.27906976744186,63.074637950241375
2021-04-30,267270,62.50140630726749,76.19415107067248,50.0,50.0,82.18390804597702,50.0,15.988372093023253,4.308797127468589
2021-04-30,051910,62.44083332278607,84.95466283115657,50.0,50.0,68.96551724137932,25.0,38.95348837209303,-12.8755364806867
2021-04-30,008930,62.285008059466115,68.46757672890232,50.0,50.0,90.80459770114942,25.0,91.86046511627906,1.7330112383153073
2021-04-30,010130,62.273127591160886,80.74240643223705,50.0,50.0,52.87356321839081,25.0,93.8953488372093,-1.1210762331838597
2021-04-30,316140,62.19389820937438,79.40771620863597,50.0,50.0,47.12643678160919,50.0,62.20930232558139,6.074766355140193
2021-04-30,052690,62.07915123592412,79.9996245034252,50.0,50.0,98.85057471264368,25.0,3.4883720930232562,46.61458333333333
2021-04-30,375500,62.04251514018602,83.2905968587516,50.0,50.0,46.55172413793103,50.0,37.7906976744186,4.511808777382398
2021-04-30,017960,61.84867190383886,75.43273740906697,50.0,50.0,44.252873563218394,50.0,86.6279069767442,-3.5019455252918275
2021-04-30,111770,61.757907867771536,95.0,50.0,50.0,51.14942528735632,25.0,4.069767441860465,4.555808656036442
2021-04-30,090430,61.535013694943764,74.20419199375252,50.0,50.0,54.59770114942529,50.0,68.6046511627907,3.512014787430684
2021-04-30,007660,61.27301200908467,83.88421406441174,50.0,50.0,81.03448275862068,10.0,33.72093023255814,-8.698156682027648
2021-04-30,034220,61.163861306635866,58.870626268460846,50.0,50.0,87.93103448275862,50.0,88.3720930232558,-1.4381121994657131
2021-04-30,006260,60.54049944193208,86.45104366853866,50.0,50.0,55.74712643678161,25.0,27.906976744186046,-2.182810368349253
2021-04-30,066970,60.44994095298327,68.81285915426608,50.0,50.0,88.50574712643679,50.0,16.86046511627907,-3.0837407962990504
